technique,model,f1_score,processing_time,memory_usage
none,Naive Bayes,0.738765920145752,0.46205568313598633,987.50390625
none,SVM,0.727239289890507,0.6579921245574951,981.2392578125
none,MLP,0.9062557143995836,3.9685654640197754,990.40625
none,Tree,0.8049890256942578,0.48107171058654785,981.0712890625
none,KNN,0.8824853033145716,0.653001070022583,994.4912109375
none,LogReg,0.7211519895486773,0.4724602699279785,1195.8642578125
